variables,values
PLC_PRG.VAR_A,2
PLC_PRG.VAR_B,1
PLC_PRG.BOOL_A,TRUE
PLC_PRG.BOOL_B,FALSE
PLC_PRG.ADD_OUT,REAL#3
PLC_PRG.SUB_OUT,REAL#1
PLC_PRG.MUL_OUT,REAL#2
PLC_PRG.FN_is_A_Bigger,TRUE
PLC_PRG.OR_OUT,TRUE
PLC_PRG.AND_OUT,FALSE
PLC_PRG.XOR_OUT,TRUE
PLC_PRG.NAND_OUT,TRUE
PLC_PRG.VAR_A,3
PLC_PRG.VAR_B,2
PLC_PRG.BOOL_A,TRUE
PLC_PRG.BOOL_B,TRUE
PLC_PRG.ADD_OUT,REAL#5
PLC_PRG.SUB_OUT,REAL#1
PLC_PRG.MUL_OUT,REAL#6
PLC_PRG.FN_is_A_Bigger,TRUE
PLC_PRG.OR_OUT,TRUE
PLC_PRG.AND_OUT,TRUE
PLC_PRG.XOR_OUT,FALSE
PLC_PRG.NAND_OUT,FALSE
PLC_PRG.VAR_A,4
PLC_PRG.VAR_B,3
PLC_PRG.BOOL_A,FALSE
PLC_PRG.BOOL_B,FALSE
PLC_PRG.ADD_OUT,REAL#7
PLC_PRG.SUB_OUT,REAL#1
PLC_PRG.MUL_OUT,REAL#12
PLC_PRG.FN_is_A_Bigger,TRUE
PLC_PRG.OR_OUT,FALSE
PLC_PRG.AND_OUT,FALSE
PLC_PRG.XOR_OUT,FALSE
PLC_PRG.NAND_OUT,TRUE
PLC_PRG.VAR_A,5
PLC_PRG.VAR_B,4
PLC_PRG.BOOL_A,TRUE
PLC_PRG.BOOL_B,TRUE
PLC_PRG.ADD_OUT,REAL#9
PLC_PRG.SUB_OUT,REAL#1
PLC_PRG.MUL_OUT,REAL#20
PLC_PRG.FN_is_A_Bigger,TRUE
PLC_PRG.OR_OUT,TRUE
PLC_PRG.AND_OUT,TRUE
PLC_PRG.XOR_OUT,FALSE
PLC_PRG.NAND_OUT,FALSE
PLC_PRG.VAR_A,6
PLC_PRG.VAR_B,5
PLC_PRG.BOOL_A,FALSE
PLC_PRG.BOOL_B,FALSE
PLC_PRG.ADD_OUT,REAL#11
PLC_PRG.SUB_OUT,REAL#1
PLC_PRG.MUL_OUT,REAL#30
PLC_PRG.FN_is_A_Bigger,TRUE
PLC_PRG.OR_OUT,FALSE
PLC_PRG.AND_OUT,FALSE
PLC_PRG.XOR_OUT,FALSE
PLC_PRG.NAND_OUT,TRUE
